car_ID, time_s, x_est, y_est, v_est, yaw_est, yawdot_est, x_var, y_var, v_var, yaw_var, yawdot_var, x_tru, y_tru, vx_tru, vy_tru
2, 0.566666, -11.371814, -0.039822, 1.529072, 0.024751, -0.026733, 0.008533, 0.232504, 0.044495, 1.293106, 1.015169, -11.393361, 0.001894, 1.198294, 0.063970
0, 0.600000, -6.847684, 3.950186, 4.958275, -0.032421, -0.067638, 0.005918, 0.008562, 0.044632, 0.007487, 0.092289, -6.830000, 4.000000, 5.066668, 0.000000
1, 0.600000, 21.209610, -4.119228, -6.115097, 0.036131, -0.002819, 0.006229, 0.042466, 0.040568, 0.014857, 0.108396, 21.200000, -4.000000, -6.000000, -0.000000
2, 0.600000, -11.376024, -0.030799, 1.536493, 0.036445, -0.025601, 0.008890, 0.260358, 0.046214, 1.329192, 1.015886, -11.353418, 0.004026, 1.263263, 0.092806
0, 0.633333, -6.715596, 3.879030, 4.891582, -0.094427, -0.192323, 0.005807, 0.008331, 0.045011, 0.007421, 0.082263, -6.661111, 4.000000, 5.083334, 0.000000
1, 0.633333, 21.029592, -3.976828, -6.074412, -0.037489, -0.120202, 0.006158, 0.044265, 0.040972, 0.015832, 0.104577, 21.000000, -4.000000, -6.000000, -0.000000
2, 0.633333, -11.345265, -0.038425, 1.575191, 0.013459, -0.039898, 0.009264, 0.289175, 0.047911, 1.365789, 1.016181, -11.311309, 0.007119, 1.327392, 0.125739
0, 0.666666, -6.589459, 3.882886, 4.847795, -0.086245, -0.146839, 0.005728, 0.008195, 0.044124, 0.007756, 0.077043, -6.491666, 4.000000, 5.100001, 0.000000
1, 0.666666, 20.879033, -3.912428, -5.985151, -0.064793, -0.142835, 0.006094, 0.045824, 0.037595, 0.017112, 0.103816, 20.800000, -4.000000, -6.000000, -0.000000
2, 0.666666, -11.382132, -0.008001, 1.546111, 0.063221, -0.022218, 0.009660, 0.320292, 0.049603, 1.406446, 1.016978, -11.267062, 0.011311, 1.390483, 0.162963
0, 0.700000, -6.448481, 3.844839, 4.771233, -0.093532, -0.118282, 0.005655, 0.008057, 0.043636, 0.007843, 0.070651, -6.321666, 4.000000, 5.116668, 0.000000
1, 0.700000, 20.707990, -3.771095, -5.874660, -0.126734, -0.217718, 0.006031, 0.047116, 0.033795, 0.018239, 0.102385, 20.600000, -4.000000, -6.000000, -0.000000
2, 0.700000, -11.335986, -0.019041, 1.581125, 0.036300, -0.039110, 0.010039, 0.350153, 0.051258, 1.442127, 1.015702, -11.220713, 0.016743, 1.452317, 0.204663
0, 0.733333, -6.258968, 3.845546, 4.847823, -0.093526, -0.133887, 0.005582, 0.007908, 0.042997, 0.007851, 0.064740, -6.151111, 4.000000, 5.133335, 0.000000
1, 0.733333, 20.481832, -3.804429, -5.967055, -0.099748, -0.164379, 0.005917, 0.046748, 0.028069, 0.018512, 0.098139, 20.400000, -4.000000, -6.000000, -0.000000
2, 0.733333, -11.259306, -0.051911, 1.655346, -0.025932, -0.070014, 0.010418, 0.382538, 0.052909, 1.483343, 1.015591, -11.172302, 0.023565, 1.512648, 0.251013
0, 0.766666, -6.086460, 3.849598, 4.887471, -0.087653, -0.123773, 0.005501, 0.007716, 0.042554, 0.007605, 0.058192, -5.980000, 4.000000, 5.150002, 0.000000
1, 0.766666, 20.281913, -3.790080, -5.988822, -0.102718, -0.162127, 0.005867, 0.048250, 0.025946, 0.019498, 0.095959, 20.200000, -4.000000, -6.000000, -0.000000
