sen_ID_lid_rad, time_s, nis
1, 2.100000, 2.411343
1, 2.100000, 6.304470
1, 2.133333, 0.801229
1, 2.133333, 0.960932
1, 2.133333, 5.749332
1, 2.166666, 2.535917
1, 2.166666, 2.981393
1, 2.166666, 7.712753
1, 2.200000, 0.632363
1, 2.200000, 0.421067
1, 2.200000, 4.803755
1, 2.233333, 0.208215
1, 2.233333, 0.054170
1, 2.233333, 20.042513
1, 2.266666, 1.284482
1, 2.266666, 1.597653
1, 2.266666, 149.233889
1, 2.300000, 4.179601
1, 2.300000, 2.022515
1, 2.300000, 29.447215
1, 2.333333, 1.658082
1, 2.333333, 2.719816
1, 2.333333, 12.599054
1, 2.366666, 1.373585
1, 2.366666, 0.123919
1, 2.366666, 21.161147
1, 2.400000, 4.592325
1, 2.400000, 7.699168
1, 2.400000, 18.640431
1, 2.433333, 1.565856
1, 2.433333, 0.757657
1, 2.433333, 27.768732
1, 2.466666, 10.506625
1, 2.466666, 10.077334
1, 2.466666, 54.594778
1, 2.500000, 6.327297
1, 2.500000, 5.152548
1, 2.500000, 28.949906
1, 2.533333, 7.405987
1, 2.533333, 4.791757
1, 2.533333, 28.220477
1, 2.566666, 4.089470
1, 2.566666, 2.088706
1, 2.566666, 33.010151
1, 2.600000, 0.431053
1, 2.600000, 1.405891
1, 2.600000, 19.735118
1, 2.633333, 3.580913
1, 2.633333, 2.811210
1, 2.633333, 35.976536
1, 2.666666, 17.136248
1, 2.666666, 14.047084
1, 2.666666, 36.990212
1, 2.700000, 0.836484
1, 2.700000, 0.350092
1, 2.700000, 33.104944
1, 2.733333, 3.380192
1, 2.733333, 2.015129
1, 2.733333, 24.383349
1, 2.766666, 6.123249
1, 2.766666, 9.002472
1, 2.766666, 39.715648
1, 2.800000, 6.616764
1, 2.800000, 7.682847
1, 2.800000, 19.257144
1, 2.833333, 1.699526
1, 2.833333, 0.925622
1, 2.833333, 24.944334
1, 2.866666, 4.917772
1, 2.866666, 3.090059
1, 2.866666, 25.788865
1, 2.900000, 5.767462
1, 2.900000, 3.430476
1, 2.900000, 51.726653
1, 2.933333, 7.133085
1, 2.933333, 4.886357
1, 2.933333, 53.088777
1, 2.966666, 3.123043
1, 2.966666, 2.121390
1, 2.966666, 45.954627
1, 3.000000, 3.631358
1, 3.000000, 3.935260
1, 3.000000, 20.359075
1, 3.033333, 7.663279
1, 3.033333, 7.586880
1, 3.033333, 44.685208
1, 3.066666, 1.518168
1, 3.066666, 1.343168
1, 3.066666, 21.586458
1, 3.100000, 3.829572
1, 3.100000, 4.916957
