sen_ID_lid_rad,time_s,x,y,v
1,0.433333,-7.499187,4.595812,-4.768868
1,0.433333,22.015330,-5.555548,-6.240858
1,0.433333,-11.653600,0.804451,-1.335944
1,0.466666,-7.235169,4.079841,-3.881706
1,0.466666,21.710172,-4.476437,-5.373161
1,0.466666,-11.303070,0.265530,-0.469941
1,0.500000,-7.069867,3.876607,-4.488975
1,0.500000,21.505620,-3.995177,-5.986345
1,0.500000,-11.176276,0.024722,-1.151384
1,0.533333,-7.106508,3.741701,-4.373867
1,0.533333,21.518067,-3.442616,-5.878545
1,0.533333,-11.252228,-0.274791,-1.111512
1,0.566666,-6.874690,3.822998,-4.112483
1,0.566666,21.253739,-3.715063,-5.625968
1,0.566666,-11.197974,-0.129566,-0.926395
1,0.600000,-7.181106,4.103039,-4.593281
1,0.600000,21.591638,-3.835035,-6.117188
1,0.600000,-11.708309,-0.121172,-1.484447
1,0.633333,-6.910287,3.657199,-4.642149
1,0.633333,21.233460,-2.866739,-6.178219
1,0.633333,-11.343670,-0.606250,-1.611500
1,0.666666,-7.171269,4.189740,-4.185012
1,0.666666,21.559166,-3.623386,-5.735123
1,0.666666,-11.944459,-0.268479,-1.233404
1,0.700000,-6.493998,3.670872,-4.064109
1,0.700000,20.752205,-2.969563,-5.630290
1,0.700000,-11.186577,-0.539214,-1.192310
1,0.733333,-5.946582,3.835049,-4.495117
1,0.733333,20.158352,-3.873443,-6.079555
1,0.733333,-10.910975,-0.018285,-1.703788
1,0.766666,-6.050418,3.952203,-4.368881
1,0.766666,20.274293,-3.785226,-5.973945
1,0.766666,-11.153953,-0.089724,-1.658564
1,0.800000,-5.927500,3.743529,-4.353045
1,0.800000,20.102003,-3.194869,-5.981294
1,0.800000,-11.020674,-0.396766,-1.724139
1,0.833333,-5.973504,4.235154,-4.091780
1,0.833333,20.205050,-4.071765,-5.745985
1,0.833333,-11.426514,0.050493,-1.544527
1,0.866666,-5.230529,3.985518,-4.347013
1,0.866666,19.329397,-4.331667,-6.030171
1,0.866666,-10.760756,0.272698,-1.881480
1,0.900000,-5.449829,4.248038,-3.749644
1,0.900000,19.610438,-4.344481,-5.465001
1,0.900000,-11.176769,0.250389,-1.365702
1,0.933333,-5.333791,4.035076,-4.558430
1,0.933333,19.451698,-3.730447,-6.309504
1,0.933333,-11.036234,-0.071104,-2.255741
1,0.966666,-5.220012,4.364295,-4.355035
1,0.966666,19.369412,-4.400062,-6.145636
1,0.966666,-11.224079,0.307247,-2.133032
1,1.000000,-4.796864,4.315863,-3.535266
1,1.000000,18.874051,-4.701614,-5.369520
1,1.000000,-10.937199,0.528467,-1.435254
1,1.033333,-4.608077,4.103834,-3.758421
1,1.033333,18.634731,-4.220124,-5.640798
1,1.033333,-10.732926,0.290786,-1.784700
1,1.066666,-4.269217,3.942676,-3.842928
1,1.066666,18.218412,-4.142795,-5.778269
1,1.066666,-10.438102,0.295333,-2.000153
1,1.100000,-4.543432,4.224714,-4.131233
1,1.100000,18.597257,-3.943042,-6.124774
1,1.100000,-10.894301,0.152765,-2.424440
1,1.133333,-3.945919,3.982722,-3.596037
1,1.133333,17.858482,-4.198240,-5.653440
1,1.133333,-10.346468,0.377538,-2.030671
1,1.166666,-3.930480,3.990062,-3.981242
1,1.166666,17.853903,-3.875868,-6.108623
1,1.166666,-10.396488,0.207272,-2.563183
1,1.200000,-3.369397,3.502465,-3.853491
1,1.200000,17.092628,-3.546246,-6.057442
1,1.200000,-9.702963,0.110713,-2.589077
1,1.233333,-3.821526,3.771319,-3.096637
1,1.233333,17.672076,-2.787822,-5.384257
1,1.233333,-10.246585,-0.368221,-1.992691
1,1.266666,-3.787282,4.652946,-3.038759
1,1.266666,17.905615,-4.419911,-5.417669
1,1.266666,-10.904779,0.551193,-2.102603
1,1.300000,-2.646065,3.713248,-3.032102
1,1.300000,16.255591,-4.702468,-5.510462
1,1.300000,-9.468831,0.864818,-2.271573
1,1.333333,-3.114861,4.463858,-3.529288
1,1.333333,17.098952,-4.654548,-6.115808
1,1.333333,-10.384911,0.794527,-2.952746
1,1.366666,-2.960929,3.932950,-2.992317
1,1.366666,16.762225,-3.444949,-5.696250
1,1.366666,-9.911086,0.143752,-2.608638
1,1.400000,-2.832356,4.234425,-3.034684
1,1.400000,16.738294,-3.921938,-5.865815
1,1.400000,-10.084666,0.437033,-2.853243
1,1.433333,-2.460759,4.351564,-3.023636
1,1.433333,16.359216,-4.622031,-5.992252
1,1.433333,-9.962097,0.898863,-3.054276
1,1.466666,-2.153161,3.740580,-2.466306
1,1.466666,15.763046,-3.801506,-5.583148
1,1.466666,-9.302844,0.492470,-2.719288
1,1.500000,-2.306248,4.305705,-3.274796
1,1.500000,16.219349,-3.878980,-6.550985
1,1.500000,-9.859413,0.520546,-3.760719
