car_ID, time_s, x_est, y_est, v_est, yaw_est, yawdot_est, x_var, y_var, v_var, yaw_var, yawdot_var, x_tru, y_tru, vx_tru, vy_tru
1, 0.600000, 21.213063, -3.849742, -5.949616, -0.261349, -0.863635, 0.001590, 0.006815, 0.017827, 0.011018, 0.123821, 21.200000, -4.000000, -6.000000, -0.000000
2, 0.600000, -11.381252, 0.000860, 1.118955, 0.162693, 0.639527, 0.001439, 0.003847, 0.018495, 0.081583, 0.714645, -11.353418, 0.004026, 1.263263, 0.092806
0, 0.633333, -6.697934, 3.953054, 5.027677, -0.021631, -0.038523, 0.001884, 0.003003, 0.035491, 0.004358, 0.056794, -6.661111, 4.000000, 5.083334, 0.000000
1, 0.633333, 21.006787, -3.920531, -5.975654, -0.169299, -0.561615, 0.001611, 0.006721, 0.017578, 0.009977, 0.101501, 21.000000, -4.000000, -6.000000, -0.000000
2, 0.633333, -11.325267, -0.045843, 1.238386, 0.019971, 0.414282, 0.001404, 0.004020, 0.018113, 0.085557, 0.686849, -11.311309, 0.007119, 1.327392, 0.125739
0, 0.666666, -6.519699, 3.990051, 5.079831, 0.015835, 0.049996, 0.001900, 0.002962, 0.035401, 0.004184, 0.049826, -6.491666, 4.000000, 5.100001, 0.000000
1, 0.666666, 20.839906, -3.859022, -5.911128, -0.217290, -0.633179, 0.001568, 0.006698, 0.017536, 0.009080, 0.084681, 20.800000, -4.000000, -6.000000, -0.000000
2, 0.666666, -11.284497, -0.004492, 1.252840, 0.169050, 0.641090, 0.001385, 0.004204, 0.018340, 0.085672, 0.642090, -11.267062, 0.011311, 1.390483, 0.162963
0, 0.700000, -6.347453, 3.989195, 5.064637, 0.022260, 0.073046, 0.001905, 0.002910, 0.035396, 0.003901, 0.043096, -6.321666, 4.000000, 5.116668, 0.000000
1, 0.700000, 20.655710, -3.845615, -5.850925, -0.211260, -0.568985, 0.001552, 0.006587, 0.017481, 0.008230, 0.071100, 20.600000, -4.000000, -6.000000, -0.000000
2, 0.700000, -11.233580, 0.008310, 1.274381, 0.210168, 0.675058, 0.001364, 0.004355, 0.018846, 0.084339, 0.591463, -11.220713, 0.016743, 1.452317, 0.204663
0, 0.733333, -6.162562, 3.977650, 5.112070, 0.003800, 0.012339, 0.001906, 0.002861, 0.035259, 0.003643, 0.037699, -6.151111, 4.000000, 5.133335, 0.000000
1, 0.733333, 20.449915, -3.874145, -5.892394, -0.166940, -0.428756, 0.001543, 0.006416, 0.017405, 0.007428, 0.060079, 20.400000, -4.000000, -6.000000, -0.000000
2, 0.733333, -11.169518, -0.006093, 1.380925, 0.132384, 0.479658, 0.001345, 0.004539, 0.019194, 0.083325, 0.545533, -11.172302, 0.023565, 1.512648, 0.251013
