sen_ID_lid_rad, time_s, x, y, v
0, 6.800000, 31.531664, 3.996322, 0.000000
1, 6.800000, 31.714208, 2.206274, 6.998451
0, 6.833333, 21.981136, 0.049304, 0.000000
1, 6.833333, 22.527413, 0.749419, 1.135062
0, 6.833333, -4.171317, -3.950820, 0.000000
1, 6.833333, -4.158180, -4.425822, -1.623914
0, 6.833333, 31.465090, 3.798394, 0.000000
1, 6.833333, 31.877102, 4.859171, 7.327921
0, 6.866666, 22.254399, 0.127206, 0.000000
1, 6.866666, 22.202770, 0.781195, 1.240545
0, 6.866666, -3.841943, -3.872918, 0.000000
1, 6.866666, -3.820836, -4.172701, -1.501731
0, 6.866666, 31.946678, 3.874305, 0.000000
1, 6.866666, 31.756770, 4.872577, 7.434771
0, 6.900000, 22.297498, 0.187891, 0.000000
1, 6.900000, 21.953573, -0.000474, 1.331549
0, 6.900000, -3.737178, -3.812233, 0.000000
1, 6.900000, -3.673148, -3.825978, -1.390888
0, 6.900000, 32.198102, 3.933017, 0.000000
1, 6.900000, 31.855903, 3.716441, 7.527101
0, 6.933333, 22.370126, -0.012120, 0.000000
1, 6.933333, 22.285021, -0.690077, 0.478771
0, 6.933333, -3.597329, -4.012244, 0.000000
1, 6.933333, -3.921595, -3.935169, -2.220400
0, 6.933333, 32.479054, 3.731053, 0.000000
1, 6.933333, 32.504751, 2.746992, 6.675611
0, 6.966666, 22.130169, 0.419445, 0.000000
1, 6.966666, 22.207456, 0.151362, 0.813638
0, 6.966666, -3.764508, -3.580680, 0.000000
1, 6.966666, -3.598135, -3.997489, -1.858527
0, 6.966666, 32.447423, 4.160682, 0.000000
1, 6.966666, 32.499260, 3.958587, 7.011728
0, 7.000000, 22.376807, 0.170281, 0.000000
1, 7.000000, 22.144968, 0.939674, 0.007819
0, 7.000000, -3.439538, -3.829844, 0.000000
1, 7.000000, -3.313205, -4.068232, -2.633258
0, 7.000000, 32.902385, 3.909601, 0.000000
1, 7.000000, 32.503720, 5.110350, 6.207121
0, 7.033333, 22.571191, 0.026396, 0.000000
1, 7.033333, 22.322985, 0.411429, 0.075405
0, 7.033333, -3.161265, -3.973728, 0.000000
1, 7.033333, -3.398588, -4.094361, -2.530124
0, 7.033333, 33.305095, 3.763819, 0.000000
1, 7.033333, 32.985872, 4.350562, 6.275885
0, 7.066666, 22.063483, -0.160338, 0.000000
1, 7.066666, 22.040390, 0.162584, 0.308060
0, 7.066666, -3.579529, -4.160462, 0.000000
1, 7.066666, -3.143988, -3.822159, -2.257055
0, 7.066666, 33.005712, 3.575205, 0.000000
1, 7.066666, 32.956642, 3.949436, 6.509684
0, 7.100000, 22.312525, -0.037603, 0.000000
1, 7.100000, 22.042931, -0.944888, 0.375392
0, 7.100000, -3.235488, -4.037727, 0.000000
1, 7.100000, -3.229933, -3.666759, -2.143995
0, 7.100000, 33.463080, 3.696079, 0.000000
1, 7.100000, 33.343533, 2.279472, 6.578129
0, 7.133333, 22.267579, -0.143253, 0.000000
1, 7.133333, 22.583186, 0.811295, 0.528742
0, 7.133333, -3.179880, -4.143377, 0.000000
1, 7.133333, -3.127507, -4.325646, -1.939121
0, 7.133333, 33.626458, 3.588587, 0.000000
1, 7.133333, 33.798110, 4.977783, 6.732559
0, 7.166666, 22.397195, 0.254290, 0.000000
