sen_ID_lid_rad,time_s,nis
1,1.900000,3.844532
0,1.900000,8.174145
1,1.900000,8.783772
0,1.933333,5.010117
1,1.933333,4.092516
0,1.933333,3.498139
1,1.933333,5.171365
0,1.933333,6.669289
1,1.933333,1.911569
0,1.966666,7.277166
1,1.966666,3.227555
0,1.966666,6.293007
1,1.966666,2.976747
0,1.966666,4.714879
1,1.966666,1.147207
0,2.000000,3.169206
1,2.000000,5.245717
0,2.000000,1.793852
1,2.000000,4.827407
0,2.000000,2.752156
1,2.000000,5.466704
0,2.033333,3.763069
1,2.033333,0.922908
0,2.033333,2.728413
1,2.033333,1.237559
0,2.033333,3.739995
1,2.033333,2.168004
0,2.066666,0.876624
1,2.066666,0.841045
0,2.066666,0.206413
1,2.066666,1.290889
0,2.066666,1.167868
1,2.066666,2.698825
0,2.100000,0.296113
1,2.100000,2.192640
0,2.100000,0.605602
1,2.100000,2.955151
0,2.100000,0.352675
1,2.100000,3.283314
0,2.133333,0.526123
1,2.133333,0.902612
0,2.133333,0.849763
1,2.133333,0.796810
0,2.133333,0.518863
1,2.133333,2.558301
0,2.166666,4.433587
1,2.166666,2.975271
0,2.166666,4.096326
1,2.166666,2.968958
0,2.166666,4.718388
1,2.166666,7.166155
0,2.200000,1.967321
1,2.200000,0.544907
0,2.200000,1.752396
1,2.200000,0.255471
0,2.200000,1.790796
1,2.200000,1.943888
0,2.233333,2.345924
1,2.233333,0.271756
0,2.233333,1.649968
1,2.233333,0.135276
0,2.233333,2.056157
1,2.233333,0.953654
0,2.266666,10.590423
1,2.266666,1.100722
0,2.266666,9.881410
1,2.266666,2.042191
0,2.266666,12.432407
1,2.266666,1.016306
0,2.300000,0.080796
1,2.300000,3.775090
0,2.300000,0.265171
1,2.300000,1.284928
0,2.300000,0.265845
1,2.300000,5.489694
0,2.333333,11.195481
1,2.333333,1.666591
0,2.333333,11.279306
1,2.333333,2.942955
0,2.333333,7.733794
1,2.333333,1.269823
0,2.366666,3.548612
1,2.366666,1.696351
0,2.366666,3.533595
1,2.366666,0.118197
0,2.366666,7.352793
1,2.366666,1.553480
0,2.400000,3.531787
1,2.400000,5.075352
0,2.400000,3.553806
1,2.400000,8.708157
0,2.400000,0.928771
1,2.400000,5.445563
0,2.433333,3.456219
1,2.433333,1.552854
0,2.433333,4.585257
1,2.433333,0.362882
0,2.433333,3.587698
1,2.433333,2.067501
0,2.466666,2.146293
1,2.466666,11.313676
0,2.466666,1.543652
1,2.466666,9.576407
0,2.466666,3.720508
1,2.466666,12.395034
0,2.500000,1.082077
1,2.500000,6.404742
0,2.500000,0.421646
1,2.500000,5.622408
0,2.500000,0.456583
1,2.500000,6.642176
0,2.533333,0.977220
1,2.533333,7.399178
0,2.533333,1.369488
1,2.533333,4.145756
0,2.533333,1.642199
1,2.533333,6.544035
0,2.566666,1.875413
1,2.566666,4.736788
0,2.566666,2.332313
1,2.566666,2.210608
0,2.566666,3.423658
1,2.566666,3.951451
0,2.600000,5.352940
1,2.600000,0.288988
0,2.600000,4.161811
1,2.600000,0.919706
0,2.600000,3.936991
1,2.600000,0.503201
0,2.633333,12.305878
1,2.633333,1.982288
0,2.633333,11.060494
1,2.633333,2.921709
0,2.633333,13.326522
1,2.633333,4.724473
0,2.666666,0.280422
1,2.666666,19.246464
0,2.666666,0.274783
1,2.666666,15.400060
0,2.666666,0.930526
1,2.666666,13.419358
0,2.700000,1.248942
1,2.700000,0.148234
0,2.700000,1.083323
1,2.700000,0.107074
0,2.700000,0.354009
1,2.700000,1.519627
0,2.733333,1.910258
1,2.733333,3.625419
0,2.733333,2.300767
1,2.733333,2.020278
0,2.733333,4.391830
1,2.733333,1.939410
0,2.766666,2.419960
1,2.766666,6.442576
0,2.766666,1.749235
1,2.766666,8.959219
0,2.766666,5.267756
1,2.766666,8.064676
0,2.800000,1.919934
1,2.800000,5.420335
0,2.800000,1.432400
1,2.800000,6.387223
0,2.800000,0.702459
1,2.800000,7.740024
0,2.833333,1.431793
1,2.833333,1.818735
0,2.833333,0.681212
1,2.833333,0.963115
0,2.833333,3.251936
1,2.833333,0.894664
0,2.866666,3.542114
1,2.866666,4.056895
0,2.866666,5.569934
1,2.866666,2.571143
0,2.866666,7.077060
1,2.866666,3.900306
0,2.900000,1.023206
1,2.900000,4.877381
0,2.900000,2.163398
1,2.900000,4.401500
0,2.900000,0.610902
1,2.900000,5.633358
0,2.933333,3.995117
1,2.933333,6.777586
0,2.933333,4.372347
1,2.933333,5.611607
0,2.933333,1.104955
1,2.933333,8.126184
0,2.966666,1.175173
1,2.966666,3.751622
0,2.966666,1.965147
1,2.966666,3.120973
0,2.966666,1.268713
1,2.966666,5.110510
0,3.000000,4.354516
1,3.000000,2.960703
0,3.000000,5.246081
1,3.000000,2.656803
0,3.000000,3.599569
1,3.000000,2.070872
0,3.033333,0.329966
1,3.033333,8.922393
0,3.033333,0.437477
1,3.033333,8.910143
0,3.033333,0.345433
1,3.033333,12.698149
0,3.066666,5.011003
1,3.066666,1.253839
0,3.066666,3.004602
1,3.066666,1.267630
0,3.066666,4.512766
1,3.066666,1.756545
0,3.100000,0.055575
1,3.100000,4.130852
0,3.100000,0.167895
1,3.100000,4.651777
0,3.100000,0.747583
1,3.100000,5.255677
0,3.133333,0.899703
1,3.133333,1.740862
0,3.133333,1.299692
1,3.133333,1.366708
0,3.133333,3.199801
1,3.133333,2.918081
0,3.166666,1.795339
1,3.166666,1.775490
0,3.166666,1.246508
1,3.166666,2.036746
0,3.166666,3.384133
1,3.166666,2.104438
0,3.200000,1.946107
1,3.200000,0.341449
0,3.200000,0.987722
1,3.200000,0.293874
0,3.200000,2.307453
1,3.200000,2.473791
0,3.233333,0.917673
1,3.233333,3.226376
0,3.233333,0.462287
1,3.233333,2.778110
0,3.233333,0.652059
1,3.233333,12.626873
0,3.266666,2.391617
1,3.266666,9.383986
0,3.266666,1.904605
1,3.266666,9.835147
0,3.266666,0.357139
1,3.266666,43.477425
0,3.300000,0.297572
1,3.300000,3.682015
0,3.300000,0.838793
1,3.300000,2.719073
0,3.300000,1.014221
1,3.300000,22.994261
0,3.333333,1.360386
1,3.333333,2.976708
0,3.333333,2.680309
1,3.333333,1.478390
0,3.333333,1.681961
1,3.333333,8.907959
0,3.366666,1.779343
1,3.366666,3.096900
0,3.366666,1.586549
1,3.366666,8.861210
0,3.366666,8.446437
1,3.366666,21.344330
0,3.400000,5.558296
1,3.400000,2.874366
0,3.400000,6.480649
1,3.400000,0.358633
0,3.400000,1.058012
1,3.400000,1.914389
0,3.433333,0.219036
1,3.433333,7.518745
0,3.433333,0.472965
1,3.433333,2.728623
0,3.433333,1.630586
1,3.433333,7.115967
0,3.466666,2.901918
1,3.466666,4.613618
0,3.466666,2.605754
1,3.466666,2.290562
0,3.466666,9.104053
1,3.466666,0.902211
0,3.500000,1.791028
1,3.500000,2.411492
0,3.500000,2.564362
1,3.500000,0.260878
0,3.500000,1.947175
1,3.500000,6.323895
0,3.533333,0.116582
1,3.533333,2.294904
0,3.533333,0.027282
1,3.533333,0.547504
0,3.533333,2.922167
1,3.533333,5.833041
0,3.566666,0.894718
1,3.566666,4.882503
0,3.566666,0.246051
1,3.566666,5.587898
0,3.566666,2.218308
1,3.566666,10.310593
0,3.600000,0.760568
1,3.600000,15.846956
0,3.600000,0.942103
1,3.600000,9.093375
0,3.600000,4.142684
1,3.600000,25.655333
0,3.633333,1.871115
1,3.633333,4.435093
0,3.633333,0.706116
1,3.633333,1.291211
0,3.633333,1.523926
1,3.633333,10.334031
0,3.666666,0.920214
1,3.666666,4.108774
0,3.666666,0.742183
1,3.666666,0.685047
0,3.666666,2.014475
1,3.666666,9.143221
0,3.700000,0.497290
1,3.700000,5.342558
0,3.700000,1.774009
1,3.700000,9.125651
0,3.700000,3.528939
1,3.700000,9.078822
0,3.733333,5.345060
1,3.733333,0.204566
0,3.733333,1.703214
1,3.733333,1.251779
0,3.733333,1.118911
1,3.733333,0.961612
0,3.766666,3.690980
1,3.766666,3.260048
0,3.766666,0.707536
1,3.766666,3.845820
0,3.766666,0.804587
1,3.766666,6.125681
0,3.800000,7.947090
1,3.800000,0.073030
0,3.800000,3.092265
1,3.800000,0.927413
0,3.800000,3.028075
1,3.800000,1.076056
0,3.833333,5.697495
1,3.833333,3.385650
0,3.833333,2.886745
1,3.833333,1.336256
0,3.833333,4.464874
1,3.833333,7.114786
0,3.866666,3.903733
1,3.866666,0.630235
0,3.866666,4.599968
1,3.866666,1.818347
0,3.866666,2.833488
1,3.866666,0.782084
0,3.900000,3.901605
1,3.900000,1.139124
0,3.900000,2.876446
1,3.900000,1.047667
0,3.900000,1.706427
1,3.900000,3.581854
0,3.933333,11.116620
1,3.933333,6.031725
0,3.933333,4.134204
1,3.933333,4.759950
0,3.933333,6.578301
1,3.933333,10.444324
0,3.966666,3.676687
1,3.966666,1.508682
0,3.966666,0.870971
1,3.966666,2.754321
0,3.966666,2.727862
1,3.966666,0.295106
0,4.000000,4.450413
1,4.000000,1.638721
0,4.000000,3.683770
1,4.000000,1.035983
0,4.000000,2.207963
1,4.000000,4.046257
0,4.033333,1.949421
1,4.033333,4.658480
0,4.033333,2.588860
1,4.033333,4.015687
0,4.033333,1.111994
1,4.033333,4.291340
0,4.066666,1.722174
1,4.066666,1.851021
0,4.066666,0.523146
1,4.066666,2.655463
0,4.066666,1.168506
1,4.066666,1.089487
0,4.100000,2.539662
1,4.100000,2.503582
0,4.100000,0.576068
1,4.100000,2.439528
0,4.100000,0.665762
1,4.100000,4.212419
0,4.133333,2.220353
1,4.133333,2.957200
0,4.133333,2.433958
1,4.133333,1.552077
0,4.133333,1.210625
1,4.133333,3.128541
0,4.166666,2.056183
1,4.166666,0.945737
0,4.166666,0.314926
1,4.166666,0.365969
0,4.166666,0.771893
1,4.166666,1.560478
0,4.200000,2.095507
1,4.200000,3.970311
0,4.200000,0.824107
1,4.200000,3.202845
0,4.200000,0.584113
1,4.200000,4.250999
0,4.233333,0.906027
1,4.233333,3.777360
0,4.233333,2.975329
1,4.233333,2.868799
0,4.233333,2.750577
1,4.233333,5.213475
0,4.266666,6.831782
1,4.266666,1.912939
0,4.266666,3.100125
1,4.266666,3.028025
0,4.266666,3.804594
1,4.266666,1.761092
0,4.300000,0.119018
1,4.300000,5.327950
0,4.300000,1.452744
1,4.300000,4.139666
0,4.300000,1.245437
1,4.300000,8.084505
0,4.333333,2.409983
1,4.333333,0.546362
0,4.333333,1.945165
1,4.333333,0.633650
0,4.333333,0.985702
1,4.333333,1.534037
0,4.366666,0.111375
1,4.366666,0.520079
0,4.366666,0.912672
1,4.366666,0.765268
0,4.366666,0.197038
1,4.366666,1.427701
0,4.400000,0.239439
1,4.400000,6.743693
0,4.400000,2.032587
1,4.400000,7.032257
0,4.400000,0.247480
1,4.400000,5.371640
0,4.433333,0.933485
1,4.433333,3.636735
0,4.433333,0.455528
1,4.433333,2.528850
0,4.433333,0.487151
1,4.433333,5.066966
0,4.466666,1.951596
1,4.466666,3.652791
0,4.466666,8.697552
1,4.466666,7.655655
0,4.466666,2.323111
1,4.466666,1.910030
0,4.500000,2.018033
1,4.500000,3.307783
0,4.500000,0.015331
1,4.500000,2.255261
0,4.500000,1.245016
1,4.500000,8.624068
0,4.533333,1.109034
1,4.533333,2.571115
0,4.533333,4.573565
1,4.533333,4.923923
0,4.533333,1.220365
1,4.533333,0.409769
0,4.566666,4.810319
1,4.566666,2.763559
0,4.566666,0.920090
1,4.566666,6.473898
0,4.566666,3.647691
1,4.566666,0.776714
0,4.600000,0.683080
1,4.600000,0.877768
0,4.600000,3.516970
1,4.600000,1.581884
0,4.600000,1.199932
1,4.600000,0.407953
0,4.633333,1.335440
1,4.633333,1.043432
0,4.633333,3.280995
1,4.633333,0.070958
0,4.633333,1.202851
1,4.633333,2.341656
0,4.666666,0.254409
1,4.666666,2.493665
0,4.666666,1.645338
1,4.666666,0.662221
0,4.666666,0.098625
1,4.666666,3.217134
0,4.700000,1.096455
1,4.700000,6.495010
0,4.700000,5.505748
1,4.700000,9.481155
0,4.700000,1.387135
1,4.700000,3.601881
0,4.733333,1.996155
1,4.733333,1.926130
0,4.733333,0.123617
1,4.733333,4.185648
0,4.733333,1.908103
1,4.733333,4.532174
0,4.766666,2.583325
1,4.766666,0.566758
0,4.766666,5.380377
1,4.766666,1.195149
0,4.766666,4.019374
1,4.766666,1.254469
0,4.800000,4.071770
1,4.800000,1.868038
0,4.800000,3.765928
1,4.800000,2.782344
0,4.800000,2.669648
1,4.800000,0.490269
0,4.833333,4.071925
1,4.833333,1.640306
0,4.833333,1.678652
1,4.833333,0.356441
0,4.833333,2.001393
1,4.833333,1.706437
0,4.866666,3.931327
1,4.866666,1.389498
0,4.866666,5.579334
1,4.866666,2.261872
0,4.866666,2.155103
1,4.866666,0.354056
0,4.900000,2.009921
1,4.900000,5.194696
0,4.900000,6.676694
1,4.900000,5.891879
0,4.900000,2.316571
1,4.900000,3.238013
0,4.933333,2.795381
1,4.933333,4.774409
0,4.933333,3.385832
1,4.933333,7.740289
0,4.933333,0.770458
1,4.933333,3.322423
0,4.966666,1.377686
1,4.966666,1.911875
0,4.966666,2.434633
1,4.966666,2.263599
0,4.966666,0.614599
1,4.966666,3.076341
0,5.000000,3.030203
1,5.000000,0.378819
0,5.000000,4.400796
1,5.000000,0.083256
0,5.000000,1.665562
1,5.000000,1.341255
0,5.033333,0.301331
1,5.033333,1.697145
0,5.033333,2.551626
1,5.033333,2.533578
0,5.033333,1.000526
1,5.033333,3.628973
0,5.066666,4.409973
1,5.066666,3.235700
